,name,inchi,mult
160,C4H8OOH2-1,"InChI=1S/C4H9O2/c1-3-4(2)6-5/h4-5H,2-3H2,1H3",2
161,C4H8OOH2-3,"InChI=1S/C4H9O2/c1-3-4(2)6-5/h3-5H,1-2H3",2
162,C4H8OOH2-4,"InChI=1S/C4H9O2/c1-3-4(2)6-5/h4-5H,1,3H2,2H3",2
163,C4H8O1-2,"InChI=1S/C4H8O/c1-2-4-3-5-4/h4H,2-3H2,1H3",1
164,C4H8O1-3,"InChI=1S/C4H8O/c1-4-2-3-5-4/h4H,2-3H2,1H3",1
165,C4H8O1-4,InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2,1
166,C4H8O2-3,"InChI=1S/C4H8O/c1-3-4(2)5-3/h3-4H,1-2H3",1
167,C4H8OOH1-2O2,"InChI=1S/C4H9O4/c1-2-4(8-6)3-7-5/h4-5H,2-3H2,1H3",2
168,C4H8OOH1-3O2,"InChI=1S/C4H9O4/c1-4(8-6)2-3-7-5/h4-5H,2-3H2,1H3",2
169,C4H8OOH1-4O2,"InChI=1S/C4H9O4/c5-7-3-1-2-4-8-6/h5H,1-4H2",2
170,C4H8OOH2-1O2,"InChI=1S/C4H9O4/c1-2-4(8-6)3-7-5/h4,6H,2-3H2,1H3",2
171,C4H8OOH2-3O2,"InChI=1S/C4H9O4/c1-3(7-5)4(2)8-6/h3-5H,1-2H3",2
172,C4H8OOH2-4O2,"InChI=1S/C4H9O4/c1-4(8-6)2-3-7-5/h4,6H,2-3H2,1H3",2
173,"C4H71-2,4OOH","InChI=1S/C4H9O4/c1-4(8-6)2-3-7-5/h4-6H,1-3H2",2
174,"C4H72-1,3OOH","InChI=1S/C4H9O4/c1-4(8-6)2-3-7-5/h2,4-6H,3H2,1H3",2
175,"C4H72-1,4OOH","InChI=1S/C4H9O4/c5-7-3-1-2-4-8-6/h1,5-6H,2-4H2",2
176,"C4H71-2,3OOH","InChI=1S/C4H9O4/c1-3(7-5)4(2)8-6/h3-6H,1H2,2H3",2
177,C4H7O1-3OOH-4,"InChI=1S/C4H8O3/c5-7-3-4-1-2-6-4/h4-5H,1-3H2",1
178,C4H7O1-3OOH-2,"InChI=1S/C4H8O3/c1-3-4(7-5)2-6-3/h3-5H,2H2,1H3",1
179,C4H7O1-2OOH-4,"InChI=1S/C4H8O3/c5-7-2-1-4-3-6-4/h4-5H,1-3H2",1
180,C4H7O1-4OOH-2,"InChI=1S/C4H8O3/c5-7-4-1-2-6-3-4/h4-5H,1-3H2",1
181,C4H7O1-2OOH-3,"InChI=1S/C4H8O3/c1-3(7-5)4-2-6-4/h3-5H,2H2,1H3",1
182,C4H7O2-3OOH-1,"InChI=1S/C4H8O3/c1-3-4(7-3)2-6-5/h3-5H,2H2,1H3",1
183,C4H72-1OOH,"InChI=1S/C4H8O2/c1-2-3-4-6-5/h2-3,5H,4H2,1H3",1
184,NC4KET12,"InChI=1S/C4H8O3/c1-2-4(3-5)7-6/h3-4,6H,2H2,1H3",1
185,NC4KET13,"InChI=1S/C4H8O3/c1-4(7-6)2-3-5/h3-4,6H,2H2,1H3",1
186,NC4KET14,"InChI=1S/C4H8O3/c5-3-1-2-4-7-6/h3,6H,1-2,4H2",1
187,NC4KET21,"InChI=1S/C4H8O3/c1-2-4(5)3-7-6/h6H,2-3H2,1H3",1
188,NC4KET23,"InChI=1S/C4H8O3/c1-3(5)4(2)7-6/h4,6H,1-2H3",1
189,NC4KET24,"InChI=1S/C4H8O3/c1-4(5)2-3-7-6/h6H,2-3H2,1H3",1
190,C4H71-3OOH,"InChI=1S/C4H8O2/c1-3-4(2)6-5/h3-5H,1H2,2H3",1
191,"C4H71-3,4OOH","InChI=1S/C4H9O4/c1-2-4(8-6)3-7-5/h4-6H,1-3H2",2
192,"C4H72-3,4OOH","InChI=1S/C4H9O4/c1-2-4(8-6)3-7-5/h2,4-6H,3H2,1H3",2
193,HO2CH2CHO,"InChI=1S/C2H4O3/c3-1-2-5-4/h1,4H,2H2",1
194,IC4H10,"InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3",1
195,IC4H9,"InChI=1S/C4H9/c1-4(2)3/h4H,1H2,2-3H3",2
196,TC4H9,InChI=1S/C4H9/c1-4(2)3/h1-3H3,2
197,TC4H9O,"InChI=1S/C4H9O/c1-4(2,3)5/h1-3H3",2
198,IC4H9O,"InChI=1S/C4H9O/c1-4(2)3-5/h4H,3H2,1-2H3",2
199,IC4H8O,"InChI=1S/C4H8O/c1-4(2)3-5-4/h3H2,1-2H3",1
200,IC3H7CHO,"InChI=1S/C4H8O/c1-4(2)3-5/h3-4H,1-2H3",1
201,IC3H7CO,"InChI=1S/C4H7O/c1-4(2)3-5/h4H,1-2H3",2
202,IC3H6CHO,"InChI=1S/C4H7O/c1-4(2)3-5/h3-4H,1H2,2H3",2
203,TC3H6CHO,"InChI=1S/C4H7O/c1-4(2)3-5/h3H,1-2H3",2
204,IC3H5CHO,"InChI=1S/C4H6O/c1-4(2)3-5/h3H,1H2,2H3",1
205,TC3H6O2CHO,"InChI=1S/C4H7O3/c1-4(2,3-5)7-6/h3H,1-2H3",2
206,IC3H5O2HCHO,"InChI=1S/C4H7O3/c1-4(2,3-5)7-6/h3,6H,1H2,2H3",2
207,TC3H6O2HCO,"InChI=1S/C4H7O3/c1-4(2,3-5)7-6/h6H,1-2H3",2
208,TC3H6OCHO,"InChI=1S/C4H7O2/c1-4(2,6)3-5/h3H,1-2H3",2
209,IC3H6CO,InChI=1S/C4H6O/c1-4(2)3-5/h1-2H3,1
210,IC3H5CO,"InChI=1S/C4H5O/c1-4(2)3-5/h1H2,2H3",2
211,IC3H4CHO-A,"InChI=1S/C4H5O/c1-4(2)3-5/h3H,1-2H2",2
212,SC4H7OH-I,"InChI=1S/C4H8O/c1-4(2)3-5/h3,5H,1-2H3",1
213,IC4H9O2,"InChI=1S/C4H9O2/c1-4(2)3-6-5/h4H,3H2,1-2H3",2
214,TC4H9O2,"InChI=1S/C4H9O2/c1-4(2,3)6-5/h1-3H3",2
